ID_community	ID_label	baseline_capacity	after_surge_capacity	demand	lat	lon	
mad	8	600	1750	1460	40.3926	-3.6749	
cat	6	600	1722	1430	41.8532	1.582	
val	10	245	245	155	39.466	-0.374	
and	1	840	1200	216	37.344	-5.944	
mur	18	123	123	92	38	-1.137	
gal	12	160	274	134	42.882	-8.5487	
ext	11	60	100	50	38.917	-6.345	
rio	15	23	51	29	42.4599	-2.4362	
ara	2	130	300	156	41.689	-0.956	
CyL	5	500	500	374	41.796	-4.724	
CLM	4	140	300	270	39.351	-2.604	
cnt	3	50	64	40	43.4709	-3.8013	
eus	16	170	550	200	42.9966	-2.5626	
nav	9	100	156	79	42.816	-1.637	
can	14	488	488	214	28.227	-14.019	
bal	13	120	120	93	39.546	2.659	
ast	17	135	135	61	43.3631	-5.853	
ceu	7	0	0	0	-100	-100	
							
							
							
							
