source_ID_label	rank	target_ID_label	distance
1	1	11	1.493906747
1	2	10	1.752182174
1	3	8	2.410001448
1	4	13	2.831612136
2	1	9	2.543306045
2	2	16	2.546193402
2	3	3	3.086204763
2	4	14	3.359902505
3	1	5	1.652672079
3	2	11	2.232963278
3	3	9	2.297923628
3	4	16	3.034054878
4	1	7	1.62330835
4	2	1	3.800365347
4	3	11	3.896620202
4	4	10	4.61613518
5	1	3	1.652672079
5	2	11	1.994314419
5	3	1	3.487903549
5	4	9	3.693437694
6	1	17	2.738294305
6	2	10	3.975893119
6	3	7	4.536244999
6	4	12	4.783786154
7	1	4	1.62330835
7	2	1	3.05070965
7	3	10	3.303979721
7	4	11	3.766090413
8	1	13	0.551383578
8	2	14	0.874944484
8	3	9	1.668915471
8	4	12	1.698710985
9	1	14	1.31677257
9	2	8	1.668915471
9	3	13	2.071468397
9	4	3	2.297923628
10	1	1	1.752182174
10	2	12	1.912240911
10	3	17	1.931435583
10	4	8	2.382182203
11	1	1	1.493906747
11	2	5	1.994314419
11	3	3	2.232963278
11	4	9	2.86044542
12	1	13	1.32640046
12	2	8	1.698710985
12	3	10	1.912240911
12	4	17	2.054530051
13	1	8	0.551383578
13	2	14	0.943054463
13	3	12	1.32640046
13	4	9	2.071468397
14	1	8	0.874944484
14	2	13	0.943054463
14	3	9	1.31677257
14	4	12	2.261213944
15	1	4	12.17888804
15	2	7	13.15926958
15	3	6	15.64267263
15	4	11	15.93880802
16	1	2	2.546193402
16	2	3	3.034054878
16	3	5	4.098747614
16	4	9	4.20246047
17	1	10	1.931435583
17	2	12	2.054530051
17	3	6	2.738294305
17	4	13	3.310748316
