source_index	target_index	degree	rank
1	4	3	1
1	11	3	2
1	18	3	3
2	4	6	1
2	5	6	2
2	6	6	3
2	9	6	4
2	10	6	5
2	15	6	6
3	5	3	1
3	16	3	2
3	17	3	3
4	1	7	1
4	2	7	2
4	5	7	3
4	8	7	4
4	10	7	5
4	11	7	6
4	18	7	7
5	2	9	1
5	3	9	2
5	4	9	3
5	8	9	4
5	11	9	5
5	12	9	6
5	15	9	7
5	16	9	8
5	17	9	9
6	2	2	1
6	10	2	2
8	4	2	1
8	5	2	2
9	2	3	1
9	15	3	2
9	16	3	3
10	2	4	1
10	4	4	2
10	6	4	3
10	18	4	4
11	1	3	1
11	4	3	2
11	5	3	3
12	5	2	1
12	17	2	2
15	2	4	1
15	5	4	2
15	9	4	3
15	16	4	4
16	3	4	1
16	5	4	2
16	9	4	3
16	15	4	4
17	3	3	1
17	5	3	2
17	12	3	3
18	1	3	1
18	4	3	2
18	10	3	3
