trustId	trustNo	icuBeds
R0A	1	108
R1F	2	6
R1H	3	122
RA2	4	21
RA3	5	5
RA4	6	10
RA7	7	55
RA9	8	10
RAE	9	16
RAJ	10	26
RAL	11	86
RAN	12	14
RAP	13	10
RAS	14	9
RAX	15	14
RBD	16	8
RBK	17	13
RBL	18	18
RBN	19	14
RBQ	20	34
RBT	21	11
RBV	22	6
RBZ	23	8
RC1	24	11
RC9	25	17
RCB	26	19
RCD	27	8
RCF	28	7
RCX	29	13
RD1	30	13
RD3	31	11
RD8	32	9
RDD	33	34
RDE	34	25
RDU	35	24
RDZ	36	12
REF	37	15
REM	38	59
RET	39	20
RF4	40	52
RFF	41	11
RFR	42	13
RFS	43	15
RGM	44	43
RGN	45	22
RGP	46	12
RGR	47	9
RGT	48	64
RH8	49	18
RHM	50	110
RHQ	51	118
RHU	52	18
RHW	53	15
RJ1	54	85
RJ2	55	33
RJ6	56	14
RJ7	57	60
RJC	58	7
RJL	59	14
RJN	60	6
RJR	61	15
RJZ	62	96
RK5	63	11
RK9	64	42
RKB	65	37
RKE	66	10
RL1	67	4
RL4	68	28
RLQ	69	6
RLT	70	8
RM1	71	20
RM3	72	30
RMC	73	18
RMP	74	9
RN3	75	12
RN5	76	24
RN7	77	10
RNA	78	20
RNQ	79	12
RNS	80	16
RNZ	81	10
RP5	82	20
RPA	83	29
RPY	84	16
RQ8	85	21
RQM	86	22
RQW	87	10
RQX	88	10
RR7	89	12
RR8	90	104
RRF	91	11
RRK	92	93
RRV	93	61
RT3	94	104
RTD	95	86
RTE	96	20
RTF	97	15
RTG	98	55
RTH	99	70
RTK	100	13
RTP	101	16
RTR	102	64
RTX	103	14
RVJ	104	46
RVR	105	21
RVV	106	30
RVW	107	16
RVY	108	11
RW6	109	36
RWA	110	44
RWD	111	31
RWE	112	81
RWF	113	19
RWG	114	19
RWH	115	18
RWJ	116	13
RWP	117	21
RWW	118	18
RWY	119	13
RX1	120	92
RXC	121	19
RXF	122	20
RXH	123	51
RXK	124	19
RXL	125	34
RXN	126	32
RXP	127	21
RXQ	128	20
RXR	129	24
RXW	130	20
RYJ	131	162
RYR	132	22
