regionId,trustId,trustNo,trustName,acuteBeds,dayBeds,icuBeds,approxLat,approxLong
Y56,R1H,1,BARTS HEALTH NHS TRUST,1623,198,122,51.53851209,-0.014752539
Y56,R1K,2,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,1125,168,33,51.53688965,-0.31150859
Y56,RAL,3,ROYAL FREE LONDON NHS FOUNDATION TRUST,983,138,86,51.61004639,-0.186372249
Y56,RAN,4,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,159,0,14,51.57793808,-0.226847745
Y56,RAP,5,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,475,74,10,51.61309433,-0.07373514
Y56,RAS,6,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,386,85,9,51.57050133,-0.453484282
Y56,RAX,7,KINGSTON HOSPITAL NHS FOUNDATION TRUST,376,60,14,51.44181188,-0.2592493
Y56,RF4,8,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",919,86,52,51.60536512,0.217580949
Y56,RJ1,9,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,1047,146,85,51.48683039,-0.095643694
Y56,RJ2,10,LEWISHAM AND GREENWICH NHS TRUST,924,88,33,51.46626091,0.016510336
Y56,RJ6,11,CROYDON HEALTH SERVICES NHS TRUST,454,38,14,51.36493492,-0.111610014
Y56,RJ7,12,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,858,60,60,51.44111633,-0.208709791
Y56,RJZ,13,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,1311,210,96,51.39894104,0.020141172
Y56,RKE,14,WHITTINGTON HEALTH NHS TRUST,265,49,10,51.57682673,-0.120483508
Y56,RPY,15,THE ROYAL MARSDEN NHS FOUNDATION TRUST,190,137,16,51.4170208,-0.181825526
Y56,RQM,16,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,741,114,22,51.47897911,-0.253024824
Y56,RQX,17,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,266,13,10,51.54227638,-0.061927998
Y56,RRV,18,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,807,196,61,51.52333026,-0.131548949
Y56,RT3,19,ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST,400,52,104,51.54823685,-0.326797239
Y56,RVR,20,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,754,163,21,51.36293316,-0.228066964
Y56,RYJ,21,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,1063,226,162,51.51191254,-0.205241063
Y58,RA3,22,WESTON AREA HEALTH NHS TRUST,259,7,5,51.32234192,-2.971384764
Y58,RA4,23,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,327,58,10,50.94484711,-2.634698391
Y58,RA7,24,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,747,141,55,51.45068804,-2.594576478
Y58,RA9,25,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,361,32,10,50.48714611,-3.559817757
Y58,RBA,26,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,569,83,14,50.99607086,-3.164953589
Y58,RBD,27,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,296,43,8,50.71294403,-2.446922541
Y58,RBZ,28,NORTHERN DEVON HEALTHCARE NHS TRUST,280,50,8,51.0174427,-4.118899902
Y58,RD1,29,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,612,48,13,51.35753632,-2.415302515
Y58,RD3,30,POOLE HOSPITAL NHS FOUNDATION TRUST,512,94,11,50.72199249,-1.973102927
Y58,RDZ,31,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,567,145,12,50.74064128,-1.817368746
Y58,REF,32,ROYAL CORNWALL HOSPITALS NHS TRUST,698,95,15,50.22686863,-5.175208092
Y58,RH8,33,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,782,172,18,50.73227174,-3.424474018
Y58,RK9,34,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,876,74,42,50.39930115,-4.186551094
Y58,RN3,35,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,612,84,12,51.46189423,-1.972658443
Y58,RNZ,36,SALISBURY NHS FOUNDATION TRUST,430,88,10,51.20174662,-1.988241871
Y58,RTE,37,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,915,96,20,51.83372116,-2.057046223
Y58,RVJ,38,NORTH BRISTOL NHS TRUST,875,16,46,51.48676809,-2.545169989
Y59,R1F,39,ISLE OF WIGHT NHS TRUST,226,38,6,50.71084595,-1.301315904
Y59,RA2,40,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,449,12,21,51.2573576,-0.583159752
Y59,RDU,41,FRIMLEY HEALTH NHS FOUNDATION TRUST,1329,101,24,51.42061488,-0.667776763
Y59,RHM,42,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,1096,92,110,50.86623383,-1.580288688
Y59,RHU,43,PORTSMOUTH HOSPITALS NHS TRUST,990,66,18,50.82299423,-1.054646462
Y59,RHW,44,ROYAL BERKSHIRE NHS FOUNDATION TRUST,522,93,15,51.46228409,-0.787004203
Y59,RN5,45,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,757,54,24,51.17470837,-1.230889633
Y59,RN7,46,DARTFORD AND GRAVESHAM NHS TRUST,492,63,10,51.34918722,0.228356128
Y59,RPA,47,MEDWAY NHS FOUNDATION TRUST,451,13,29,51.32865524,0.524792254
Y59,RPC,48,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,65,14,5,51.13507462,-0.002886042
Y59,RTH,49,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,922,194,70,52.05235757,-1.600935525
Y59,RTK,50,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,461,44,13,51.41092873,-0.499922186
Y59,RTP,51,SURREY AND SUSSEX HEALTHCARE NHS TRUST,700,52,16,51.2191925,-0.161995023
Y59,RVV,52,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,1001,49,30,51.28093948,0.906925267
Y59,RWF,53,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,701,79,19,51.28896713,0.345605373
Y59,RXC,54,EAST SUSSEX HEALTHCARE NHS TRUST,717,30,19,50.87278976,0.28280525
Y59,RXH,55,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,858,70,51,50.87844658,-0.108785295
Y59,RXQ,56,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,544,20,20,51.71809244,-0.786155708
Y59,RYR,57,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,938,64,22,50.83366903,-0.462520113
Y60,RBK,58,WALSALL HEALTHCARE NHS TRUST,485,27,13,52.58233261,-1.998909116
Y60,RFS,59,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,520,0,15,53.2362175,-1.400036573
Y60,RJC,60,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,472,78,7,52.26412735,-1.575010872
Y60,RJE,61,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,1388,167,82,52.90722656,-2.15491116
Y60,RK5,62,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,588,59,11,53.11109638,-1.123157054
Y60,RKB,63,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,1091,80,37,52.3932457,-1.348702312
Y60,RL1,64,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,167,8,4,53.03442764,-3.064996958
Y60,RL4,65,THE ROYAL WOLVERHAMPTON NHS TRUST,823,115,28,52.62692006,-2.089127223
Y60,RLQ,66,WYE VALLEY NHS TRUST,258,16,6,52.09495831,-2.634231389
Y60,RLT,67,GEORGE ELIOT HOSPITAL NHS TRUST,307,11,8,52.51258469,-1.478424549
Y60,RNA,68,THE DUDLEY GROUP NHS FOUNDATION TRUST,634,138,20,52.49628576,-2.112533887
Y60,RNQ,69,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,544,37,12,52.43922997,-0.834346324
Y60,RNS,70,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,730,93,16,52.23605347,-0.883829474
Y60,RQ3,71,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,241,34,4,52.46906662,-1.918315291
Y60,RRJ,72,THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,95,17,7,52.42113876,-1.960812807
Y60,RRK,73,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,2568,176,93,52.4787159,-1.839523137
Y60,RTG,74,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,1407,153,55,52.79005203,-1.635714817
Y60,RWD,75,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,1160,199,31,53.04859797,-0.390090727
Y60,RWE,76,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,1583,213,81,52.62496948,-1.044546195
Y60,RWP,77,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,779,18,21,52.24263096,-2.107633919
Y60,RX1,78,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,1564,221,92,52.96234004,-1.166895707
Y60,RXK,79,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,643,66,19,52.49913788,-1.991138458
