sourceTrustId	rank	targetTrustId	distance
R1H	1	R1H	0
R1H	2	RQX	0.047325404
R1H	3	RJ2	0.078724843
R1H	4	RAP	0.095086577
R1H	5	RJ1	0.095991547
R1K	1	R1K	0
R1K	2	RT3	0.019039478
R1K	3	RQM	0.0823042
R1K	4	RAN	0.094087365
R1K	5	RAX	0.108493389
RAL	1	RAL	0
RAL	2	RAN	0.05166439
RAL	3	RKE	0.073789374
RAL	4	RYJ	0.0999314
RAL	5	RRV	0.102592787
RAN	1	RAN	0
RAN	2	RAL	0.05166439
RAN	3	RYJ	0.069471009
RAN	4	R1K	0.094087365
RAN	5	RQM	0.102362674
RAP	1	RAP	0
RAP	2	RKE	0.059167124
RAP	3	RQX	0.071795475
RAP	4	R1H	0.095086577
RAP	5	RRV	0.106770895
RAS	1	RAS	0
RAS	2	RT3	0.128628589
RAS	3	R1K	0.14590011
RAS	4	RWG	0.152946446
RAS	5	RTK	0.166192341
RAX	1	RAX	0
RAX	2	RQM	0.03768484
RAX	3	RJ7	0.050544294
RAX	4	RPY	0.081295993
RAX	5	RVR	0.084818575
RF4	1	RF4	0
RF4	2	RQW	0.174095585
RF4	3	R1H	0.241760577
RF4	4	RJ2	0.244498205
RF4	5	RN7	0.256404411
RJ1	1	RJ1	0
RJ1	2	RRV	0.051199882
RJ1	3	RQX	0.064892263
RJ1	4	RKE	0.093361433
RJ1	5	R1H	0.095991547
RJ2	1	RJ2	0
RJ2	2	RJZ	0.067417712
RJ2	3	R1H	0.078724843
RJ2	4	RQX	0.109228771
RJ2	5	RJ1	0.114024691
RJ6	1	RJ6	0
RJ6	2	RPY	0.087425149
RJ6	3	RVR	0.116474153
RJ6	4	RJ1	0.122936689
RJ6	5	RJ7	0.123417885
RJ7	1	RJ7	0
RJ7	2	RPY	0.036102057
RJ7	3	RAX	0.050544294
RJ7	4	RQM	0.058287323
RJ7	5	RYJ	0.07088113
RJZ	1	RJZ	0
RJZ	2	RJ2	0.067417712
RJZ	3	RJ6	0.136069067
RJZ	4	R1H	0.143866779
RJZ	5	RJ1	0.145363935
RKE	1	RKE	0
RKE	2	RRV	0.054628893
RKE	3	RAP	0.059167124
RKE	4	RQX	0.067988781
RKE	5	RAL	0.073789374
RPY	1	RPY	0
RPY	2	RJ7	0.036102057
RPY	3	RVR	0.071159984
RPY	4	RAX	0.081295993
RPY	5	RJ6	0.087425149
RQM	1	RQM	0
RQM	2	RAX	0.03768484
RQM	3	RYJ	0.058033597
RQM	4	RJ7	0.058287323
RQM	5	R1K	0.0823042
RQX	1	RQX	0
RQX	2	R1H	0.047325404
RQX	3	RJ1	0.064892263
RQX	4	RKE	0.067988781
RQX	5	RAP	0.071795475
RRV	1	RRV	0
RRV	2	RJ1	0.051199882
RRV	3	RKE	0.054628893
RRV	4	RQX	0.072152839
RRV	5	RYJ	0.07457139
RT3	1	RT3	0
RT3	2	R1K	0.019039478
RT3	3	RQM	0.10118796
RT3	4	RAN	0.104269193
RT3	5	RAX	0.126051568
RVR	1	RVR	0
RVR	2	RPY	0.071159984
RVR	3	RJ7	0.080543832
RVR	4	RAX	0.084818575
RVR	5	RJ6	0.116474153
RYJ	1	RYJ	0
RYJ	2	RQM	0.058033597
RYJ	3	RAN	0.069471009
RYJ	4	RJ7	0.07088113
RYJ	5	RRV	0.07457139
RA3	1	RA3	0
RA3	2	RBA	0.379370127
RA3	3	RA7	0.398066844
RA3	4	RVJ	0.456831477
RA3	5	RA4	0.505826103
RA4	1	RA4	0
RA4	2	RBD	0.298393711
RA4	3	RD1	0.467383069
RA4	4	RA3	0.505826103
RA4	5	RA7	0.507429622
RA7	1	RA7	0
RA7	2	RVJ	0.061178187
RA7	3	RD1	0.202030687
RA7	4	RA3	0.398066844
RA7	5	RA4	0.507429622
RA9	1	RA9	0
RA9	2	RH8	0.280008043
RA9	3	RK9	0.63285971
RA9	4	RBA	0.644144486
RA9	5	RBZ	0.770575971
RBA	1	RBA	0
RBA	2	RH8	0.370055171
RBA	3	RA3	0.379370127
RBA	4	RA4	0.532723614
RBA	5	RA9	0.644144486
RBD	1	RBD	0
RBD	2	RA4	0.298393711
RBD	3	RD3	0.473906004
RBD	4	RDZ	0.630162771
RBD	5	RD1	0.645367368
RBZ	1	RBZ	0
RBZ	2	RK9	0.621832507
RBZ	3	RH8	0.750699532
RBZ	4	RA9	0.770575971
RBZ	5	RBA	0.954185685
RD1	1	RD1	0
RD1	2	RVJ	0.183211385
RD1	3	RA7	0.202030687
RD1	4	RNZ	0.454589069
RD1	5	RN3	0.454779449
RD3	1	RD3	0
RD3	2	RDZ	0.15684678
RD3	3	RHM	0.418459781
RD3	4	RBD	0.473906004
RD3	5	RNZ	0.47999293
RDZ	1	RDZ	0
RDZ	2	RD3	0.15684678
RDZ	3	RHM	0.268291711
RDZ	4	RNZ	0.491747665
RDZ	5	R1F	0.516912273
REF	1	REF	0
REF	2	RK9	1.003581403
REF	3	RBZ	1.319391662
REF	4	RA9	1.636224403
REF	5	RH8	1.822224492
RH8	1	RH8	0
RH8	2	RA9	0.280008043
RH8	3	RBA	0.370055171
RH8	4	RA3	0.743957451
RH8	5	RBZ	0.750699532
RK9	1	RK9	0
RK9	2	RBZ	0.621832507
RK9	3	RA9	0.63285971
RK9	4	RH8	0.831643484
RK9	5	REF	1.003581403
RN3	1	RN3	0
RN3	2	RNZ	0.260613927
RN3	3	RTE	0.381282791
RN3	4	RD1	0.454779449
RN3	5	RVJ	0.573051637
RNZ	1	RNZ	0
RNZ	2	RN3	0.260613927
RNZ	3	RD1	0.454589069
RNZ	4	RD3	0.47999293
RNZ	5	RDZ	0.491747665
RTE	1	RTE	0
RTE	2	RN3	0.381282791
RTE	3	RWP	0.412027108
RTE	4	RTH	0.505805147
RTE	5	RRJ	0.595248108
RVJ	1	RVJ	0
RVJ	2	RA7	0.061178187
RVJ	3	RD1	0.183211385
RVJ	4	RA3	0.456831477
RVJ	5	RA4	0.549266495
R1F	1	R1F	0
R1F	2	RHU	0.270966882
R1F	3	RHM	0.319329309
R1F	4	RN5	0.469178221
R1F	5	RDZ	0.516912273
RA2	1	RA2	0
RA2	2	RTK	0.174678516
RA2	3	RDU	0.183883056
RA2	4	RHW	0.289045717
RA2	5	RAS	0.338931738
RDU	1	RDU	0
RDU	2	RHW	0.126299269
RDU	3	RTK	0.168133818
RDU	4	RA2	0.183883056
RDU	5	RAS	0.261509494
RHM	1	RHM	0
RHM	2	RDZ	0.268291711
RHM	3	R1F	0.319329309
RHM	4	RD3	0.418459781
RHM	5	RN5	0.466086089
RHU	1	RHU	0
RHU	2	R1F	0.270966882
RHU	3	RN5	0.393401179
RHU	4	RHM	0.527417683
RHU	5	RYR	0.592222564
RHW	1	RHW	0
RHW	2	RDU	0.126299269
RHW	3	RXQ	0.255809761
RHW	4	RA2	0.289045717
RHW	5	RTK	0.291639259
RN5	1	RN5	0
RN5	2	RHU	0.393401179
RN5	3	RHM	0.466086089
RN5	4	R1F	0.469178221
RN5	5	RHW	0.528898924
RN7	1	RN7	0
RN7	2	RWF	0.131809878
RN7	3	RJZ	0.214076881
RN7	4	RJ2	0.242043157
RN7	5	RF4	0.256404411
RPA	1	RPA	0
RPA	2	RWF	0.183529519
RPA	3	RDD	0.220936483
RPA	4	RAJ	0.260990153
RPA	5	RN7	0.297146325
RPC	1	RPC	0
RPC	2	RTP	0.179976352
RPC	3	RJ6	0.254276744
RPC	4	RJZ	0.264869293
RPC	5	RXH	0.277619526
RTH	1	RTH	0
RTH	2	RJC	0.213350717
RTH	3	RKB	0.424059325
RTH	4	RLT	0.476254071
RTH	5	RRK	0.488574941
RTK	1	RTK	0
RTK	2	RAS	0.166192341
RTK	3	RDU	0.168133818
RTK	4	RA2	0.174678516
RTK	5	RT3	0.220965534
RTP	1	RTP	0
RTP	2	RJ6	0.154206035
RTP	3	RVR	0.158198853
RTP	4	RPC	0.179976352
RTP	5	RPY	0.198819723
RVV	1	RVV	0
RVV	2	RPA	0.38510055
RVV	3	RDD	0.461402347
RVV	4	RAJ	0.508186477
RVV	5	RWF	0.561377294
