sourceTrustId	rank	targetTrustId	distance
R0A	1	RBV	0.018342877
R0A	2	R0A	0.03286927
R0A	3	R0A	0.033177019
R0A	4	R0A	0.066037603
R0A	5	RW6	0.08250683
R1F	1	R1F	0
R1F	2	RHM	0.259340492
R1F	3	RHU	0.270171289
R1F	4	RN5	0.351967197
R1F	5	RDZ	0.520480991
R1H	1	RQX	0.022220319
R1H	2	R1H	0.033349441
R1H	3	R1H	0.055518285
R1H	4	RJ1	0.064046946
R1H	5	R1H	0.06656343
RA2	1	RA2	0
RA2	2	RDU	0.155865615
RA2	3	RTK	0.158693633
RA2	4	RDU	0.292911311
RA2	5	RAS	0.320405777
RA3	1	RA3	0
RA3	2	RA7	0.399432858
RA3	3	RVJ	0.417658065
RA3	4	RA4	0.505826103
RA3	5	RD1	0.58430837
RA4	1	RA4	0
RA4	2	RBD	0.298393711
RA4	3	RA3	0.505826103
RA4	4	RD1	0.508861943
RA4	5	RA7	0.51578387
RA7	1	RA7	0
RA7	2	RVJ	0.03599211
RA7	3	RD1	0.215756752
RA7	4	RA3	0.399432858
RA7	5	RA4	0.51578387
RA9	1	RA9	0
RA9	2	RH8	0.239076746
RA9	3	RK9	0.563710007
RA9	4	RBZ	0.786484564
RA9	5	RA3	1.022168686
RAE	1	RAE	0
RAE	2	RWY	0.119075964
RAE	3	RWY	0.152056823
RAE	4	RCF	0.191555364
RAE	5	RR8	0.242604602
RAJ	1	RAJ	0
RAJ	2	RQ8	0.17695178
RAJ	3	RPA	0.22747866
RAJ	4	RDD	0.238091523
RAJ	5	RQ8	0.313018844
RAL	1	RAL	0.054523368
RAL	2	RAL	0.054523368
RAL	3	RKE	0.062314889
RAL	4	RYJ	0.086526941
RAL	5	RRV	0.093448423
RAN	1	RAN	0
RAN	2	RWG	0.096201165
RAN	3	RAL	0.097981127
RAN	4	RYJ	0.137806026
RAN	5	RQM	0.159531869
RAP	1	RAP	0
RAP	2	RQX	0.068308484
RAP	3	RKE	0.079994605
RAP	4	R1H	0.083720431
RAP	5	R1H	0.095367241
RAS	1	RAS	0
RAS	2	RT3	0.08349475
RAS	3	RDU	0.112973424
RAS	4	RWG	0.13465599
RAS	5	RQM	0.146447132
RAX	1	RAX	0
RAX	2	RQM	0.072167971
RAX	3	RVR	0.089798463
RAX	4	RYJ	0.095632402
RAX	5	RVR	0.104826105
RBD	1	RBD	0
RBD	2	RA4	0.298393711
RBD	3	RD3	0.473906004
RBD	4	RDZ	0.627368564
RBD	5	RD1	0.681009412
RBK	1	RBK	0
RBK	2	RXK	0.055175941
RBK	3	RL4	0.0981846
RBK	4	RXK	0.114851999
RBK	5	RNA	0.14354273
RBL	1	RBL	0
RBL	2	REM	0.19186172
RBL	3	RET	0.191988032
RBL	4	RBQ	0.203116426
RBL	5	RJR	0.253060739
RBN	1	RBN	0
RBN	2	RBQ	0.113419197
RBN	3	RET	0.153096928
RBN	4	REM	0.153174383
RBN	5	RWW	0.176239531
RBQ	1	RBQ	0
RBQ	2	REM	0.06434693
RBQ	3	RET	0.064355703
RBQ	4	RBN	0.113419197
RBQ	5	RJR	0.199385469
RBT	1	RBT	0
RBT	2	RWW	0.307441436
RBT	3	RWW	0.31106909
RBT	4	R0A	0.327713448
RBT	5	RJN	0.364695223
RBV	1	RBV	0
RBV	2	R0A	0.032007696
RBV	3	R0A	0.032326465
RBV	4	R0A	0.074040252
RBV	5	RW6	0.088117896
RBZ	1	RBZ	0
RBZ	2	RH8	0.660787357
RBZ	3	RK9	0.678400835
RBZ	4	RA9	0.786484564
RBZ	5	RA3	1.10330845
RC1	1	RC1	0
RC1	2	RC9	0.234127411
RC1	3	RD8	0.282314041
RC1	4	RWH	0.330083886
RC1	5	RGN	0.338911634
RC9	1	RC9	0
RC9	2	RC1	0.234127411
RC9	3	RWG	0.255103283
RC9	4	RWH	0.263471064
RC9	5	RT3	0.287535483
RCB	1	RCB	0.360453685
RCB	2	RCB	0.360453685
RCB	3	RWA	0.469522544
RCB	4	RJL	0.545544143
RCB	5	RWA	0.553309234
RCD	1	RCD	0
RCD	2	RR8	0.186956176
RCD	3	RR8	0.195428746
RCD	4	RXF	0.302781514
RCD	5	RAE	0.334776477
RCF	1	RCF	0
RCF	2	RAE	0.191555364
RCF	3	RWY	0.219973935
RCF	4	RWY	0.283278954
RCF	5	RW6	0.379719819
RCX	1	RCX	0
RCX	2	RWD	0.513347042
RCX	3	RGR	0.586916705
RCX	4	RGT	0.657047637
RCX	5	RGM	0.661609012
RD1	1	RD1	0
RD1	2	RA7	0.215756752
RD1	3	RVJ	0.224848492
RD1	4	RTE	0.50067862
RD1	5	RA4	0.508861943
RD3	1	RD3	0
RD3	2	RDZ	0.154712195
RD3	3	RNZ	0.370476608
RD3	4	RBD	0.473906004
RD3	5	RHM	0.577919743
RD8	1	RD8	0
RD8	2	RXQ	0.237806445
RD8	3	RNS	0.256686135
RD8	4	RC1	0.282314041
RD8	5	RC9	0.292897346
RDD	1	RDD	0
RDD	2	RPA	0.199977829
RDD	3	RQ8	0.217539234
RDD	4	RN7	0.227796036
RDD	5	RAJ	0.238091523
RDE	1	RDE	0.166400749
RDE	2	RDE	0.166400749
RDE	3	RGR	0.420423634
RDE	4	RQ8	0.453958167
RDE	5	RAJ	0.560504617
RDU	1	RDU	0.135393024
RDU	2	RDU	0.135393024
RDU	3	RTK	0.139471649
